rewards,   timestep
0.198198198198, 173401
0.233766233766, 174171
0.148148148148, 174981
0.164092664093, 175499
0.110701107011, 176041
0.0787401574803, 176676
0.302398331595, 177635
0.145502645503, 178013
0.20156046814, 178782
0.257985257985, 179596
0.222222222222, 180406
0.298295454545, 181110
0.25, 182010
0.546975546976, 182787
0.174927113703, 183473
0.219707057257, 184224
0.0898692810458, 184836
0.181347150259, 185801
0.097244732577, 186418
0.203045685279, 187009
0.263157894737, 187750
0.133928571429, 188422
0.291353383459, 188954
0.217948717949, 189734
0.19512195122, 190144
0.52599009901, 190952
0.270034843206, 191526
0.292008196721, 192502
0.168119551681, 193305
0.234215885947, 193796
0.171606864275, 195078
0.171073094868, 195721
0.168711656442, 196373
0.192307692308, 197023
0.040733197556, 197514
0.288562434418, 198467
