rewards, time step
0.209176788124, 178560
0.265957446809, 178936
0.190895741557, 179617
0.225563909774, 180415
0.185185185185, 181009
0.210589651023, 181840
0.173501577287, 182474
0.169628432956, 183093
0.255834829443, 184207
0.246981339188, 185118
0.195838433293, 185935
0.182186234818, 186676
0.216, 187301
0.139751552795, 187945
0.177514792899, 188621
0.0875796178344, 189249
0.19472361809, 190045
0.166340508806, 190556
0.135135135135, 191370
0.233050847458, 191842
0.254854368932, 192666
0.208550573514, 193625
0.251196172249, 194461
0.215716486903, 195110
0.260223048327, 195917
0.229591836735, 196701
0.217741935484, 197321
0.153846153846, 197711
0.142602495544, 198272
0.308788598575, 199535
0.0898203592814, 200036
0.286659316428, 200943
0.164576802508, 201581
0.231053604436, 202122
0.217041800643, 202744
0.24500907441, 203846
